시리즈,연월,중앙값_만원_m2
서울,2010-03,506.001412096964
서울,2010-04,480.36837069436854
서울,2010-05,485.8327104708841
서울,2010-06,500.75850195701236
서울,2010-07,513.7268763991988
서울,2010-08,512.9337015740782
서울,2010-09,495.0913955429587
서울,2010-10,511.9366563710517
서울,2010-11,538.8722055388722
서울,2010-12,534.184444817739
서울,2011-01,519.831223628692
서울,2011-02,500.5005005005005
서울,2011-03,491.1754911754912
서울,2011-04,489.7537505456827
서울,2011-05,494.460091548584
서울,2011-06,489.2389606271489
서울,2011-07,507.6142131979696
서울,2011-08,485.76214405360133
서울,2011-09,493.468148010248
서울,2011-10,500.45225256566357
서울,2011-11,496.58743233702046
서울,2011-12,506.1801059446733
서울,2012-01,489.6077919819115
서울,2012-02,482.6012848073515
서울,2012-03,479.0940766550523
서울,2012-04,485.8657243816254
서울,2012-05,498.92727648741817
서울,2012-06,471.58688988446124
서울,2012-07,472.20858194938535
서울,2012-08,458.9153124742595
서울,2012-09,483.2481236483229
서울,2012-10,486.495554437175
서울,2012-11,490.77006133633364
서울,2012-12,495.1891044238065
서울,2013-01,489.6496815286624
서울,2013-02,502.2181300744957
서울,2013-03,487.6875360535534
서울,2013-04,483.6473110241722
서울,2013-05,485.60972736829706
서울,2013-06,473.35600907029476
서울,2013-07,452.66316830687214
서울,2013-08,461.15572096033657
서울,2013-09,471.22577768491
서울,2013-10,484.4868735083532
서울,2013-11,494.2996200008125
서울,2013-12,506.1801059446733
서울,2014-01,509.37936121912423
서울,2014-02,501.9240421616195
서울,2014-03,484.9397132387599
서울,2014-04,485.11167871014686
서울,2014-05,490.850545825807
서울,2014-06,491.91194624704815
서울,2014-07,495.6018021883716
서울,2014-08,503.87029226622735
서울,2014-09,501.99104370103083
서울,2014-10,505.50550550550554
서울,2014-11,498.221478881534
서울,2014-12,517.6156286525296
서울,2015-01,508.452973091745
서울,2015-02,511.54249737670517
서울,2015-03,513.0793170157289
서울,2015-04,520.3151641034218
서울,2015-05,519.9494850012893
서울,2015-06,515.6015351243117
서울,2015-07,518.7455788729073
서울,2015-08,523.023023023023
서울,2015-09,539.3953337065486
서울,2015-10,555.7398536073542
서울,2015-11,570.704723238171
서울,2015-12,551.2020188604064
서울,2016-01,540.3479622400847
서울,2016-02,543.3486629194344
서울,2016-03,548.1813480434408
서울,2016-04,587.3140172278778
서울,2016-05,592.3221855864343
서울,2016-06,589.8520084566596
서울,2016-07,581.094016056896
서울,2016-08,590.318772136954
서울,2016-09,596.1301495320878
서울,2016-10,599.6701225259189
서울,2016-11,584.0731593351579
서울,2016-12,585.299044637874
서울,2017-01,586.8352656534171
서울,2017-02,604.9852049891631
서울,2017-03,616.7488964905422
서울,2017-04,643.7293886278092
서울,2017-05,674.0989541671051
서울,2017-06,626.1909092019304
서울,2017-07,651.5470304213679
서울,2017-08,621.2664277180406
서울,2017-09,680.4733727810651
서울,2017-10,695.0700645681007
서울,2017-11,730.9929469604853
서울,2017-12,743.9773264052905
서울,2018-01,733.3380005600671
서울,2018-02,674.2067640897742
서울,2018-03,644.9335059432741
서울,2018-04,647.2111084961167
서울,2018-05,649.6953345843772
서울,2018-06,656.78814577493
서울,2018-07,717.8750897343863
서울,2018-08,734.8814836589081
서울,2018-09,718.9675347688424
서울,2018-10,709.4714437743881
서울,2018-11,706.523568407303
서울,2018-12,700.6130473731174
서울,2019-01,717.005076142132
서울,2019-02,734.1243315508021
서울,2019-03,742.9420505200594
서울,2019-04,817.7104108496211
서울,2019-05,904.1784987308688
서울,2019-06,961.0446260183205
서울,2019-07,936.3295880149814
서울,2019-08,878.3333333333334
서울,2019-09,913.0024397570321
